id,company_id,name,email,department_id,role,created_at,updated_at
c8a69414-adb8-43e3-992f-ccc29d7e7fd9,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Muhamed Sejmenović,muhamed.sejmenović7982@example.com,1,admin,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
efe611a6-4201-4552-86d1-17476e9cf32b,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Kasim Muratović,kasim.muratović9266@example.com,1,manager,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
80578c03-196e-4e09-8eca-1d39a9765f6a,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Fatih Zukić,fatih.zukić9560@example.com,1,employee,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
e54a6d0b-0aaa-41ce-9a07-286f6791c9f6,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Nadina Ahmetović,nadina.ahmetović8612@example.com,1,employee,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
4a229911-798b-4378-a841-3c03963eb7f4,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Biserka Džemidžić,biserka.džemidžić3550@example.com,1,manager,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
13b428d0-55ea-4076-a81a-63cdfd00e2c5,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Remzija Čaušević,remzija.čaušević3279@example.com,1,admin,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
a9e51679-c165-4a37-bf44-06e670369250,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Remzija Smajlović,remzija.smajlović7043@example.com,1,manager,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
3c1d782e-b0c6-4ae5-9656-55d6b85b003d,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Nermina Smajlović,nermina.smajlović9159@example.com,1,manager,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
452f4c29-4d36-453c-aea7-ec50fcafdc9a,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Zijad Muslić,zijad.muslić9790@example.com,1,manager,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
fb0990b5-8296-433d-88f7-99354a952818,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Dženeta Džanko,dženeta.džanko1831@example.com,1,admin,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
d5f3185b-bcbf-4c3e-a120-3392c7bd251d,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Ajla Avdić,ajla.avdić2718@example.com,1,admin,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
de335332-2b1f-4906-a511-f958731afac9,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Sanin Alić,sanin.alić7219@example.com,1,manager,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
9005531a-55be-4395-9e2b-7a3bc5303fc9,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Inela Nukić,inela.nukić8980@example.com,1,employee,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
471c18eb-c264-4d71-83e4-9c59297212ca,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Zoran Selimović,zoran.selimović7204@example.com,1,manager,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
76e01dbf-c867-4179-8b14-c14458c72203,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Nina Ćeman,nina.ćeman7738@example.com,1,manager,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
79ef9dae-3b16-4703-9cc0-c7e205dfecd1,05bd26a2-e08f-40e6-a350-6f33b1aa7468,Indira Osmanović,indira.osmanović8475@example.com,1,employee,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
