id,name,email,created_at,eco_points,updated_at
5026a6da-2b19-4468-a7fb-50c77d582310,Edvin Džafić,edvin.džafić24078@example.ba,2024-07-21 16:17:07,27,2025-06-05 22:10:09.543614
84f47a60-1791-4e51-a273-e293ff88e53b,Ajdin Zaimović,ajdin.zaimović458662@example.ba,2024-05-09 17:29:52,142,2025-06-05 22:10:09.543614
9bbe9dba-74d6-486c-932e-7daec26ea698,Latif Džaferović,latif.džaferović370599@example.ba,2025-04-23 18:30:00,579,2025-06-05 22:10:09.543614
08afefd0-e779-4344-b012-90ecf399edcd,Samid Džafić,samid.džafić230240@example.ba,2024-05-07 11:31:33,455,2025-06-05 22:10:09.543614
9b4265af-4d81-4d4a-96a8-b4bb544bb6f3,Nihad Šehanović,nihad.šehanović544023@example.ba,2024-02-26 07:51:47,764,2025-06-05 22:10:09.543614
d4c4821e-3642-4586-a62e-f97472933c19,Harun Krpić,harun.krpić764317@example.ba,2024-05-05 12:25:55,951,2025-06-05 22:10:09.543614
f6ad4a89-bb4a-4d89-acf9-e3418c2e32d6,Emir Šehanović,emir.šehanović622121@example.ba,2024-06-22 00:06:21,703,2025-06-05 22:10:09.543614
17126932-b985-438d-ab22-e4822acf5ffc,Latif Krpić,latif.krpić975469@example.ba,2025-01-16 03:23:25,273,2025-06-05 22:10:09.543614
4d9c3463-4fc0-4d58-816d-5e41063340bf,Jasmin Nurkić,jasmin.nurkić748516@example.ba,2025-02-12 22:54:55,298,2025-06-05 22:10:09.543614
2c1d6c0f-e8d8-42ba-8426-b86c9bda72c9,Goran Sejdić,goran.sejdić476797@example.ba,2024-06-18 04:52:46,228,2025-06-05 22:10:09.543614
4249645b-6efc-41ab-b3b4-e1f355d54171,Ismail Šehović,ismail.šehović130121@example.ba,2024-01-12 07:33:20,346,2025-06-05 22:10:09.543614
fad3e15f-dee9-42ca-8b41-4d1542726b0d,Alem Memić,alem.memić815456@example.ba,2024-09-17 04:10:07,50,2025-06-05 22:10:09.543614
aba498ab-1223-4c02-8f9c-8ff7057d54ac,Azem Karahodžić,azem.karahodžić34792@example.ba,2025-03-12 06:13:41,935,2025-06-05 22:10:09.543614
94a1c303-c29b-4ab0-a929-12e4f8c072b9,Faruk Šehanović,faruk.šehanović224332@example.ba,2024-01-17 18:08:42,416,2025-06-05 22:10:09.543614
755eefc3-d23e-427d-98a8-d4d259029e5a,Ernad Ibišević,ernad.ibišević754140@example.ba,2024-04-17 22:35:17,331,2025-06-05 22:10:09.543614
d86c852b-d3f8-4e9a-a7a0-23f43c1bdd63,Elmedin Hadžić,elmedin.hadžić559605@example.ba,2024-12-03 06:58:22,624,2025-06-05 22:10:09.543614
58b81589-e06c-423b-91eb-a585fb628806,Amar Hasanović,amar.hasanović185557@example.ba,2025-04-04 16:40:48,391,2025-06-05 22:10:09.543614
941821f2-e634-49ff-bb09-ddebb08205b2,Kasim Halilović,kasim.halilović478524@example.ba,2024-07-23 18:07:39,524,2025-06-05 22:10:09.543614
2b1f6ba8-5670-462b-8cb1-399419176e9b,Ervin Kovačević,ervin.kovačević791785@example.ba,2024-07-22 21:00:16,802,2025-06-05 22:10:09.543614
c3ca5c64-51b7-4e00-820d-f184ca3915ac,Faruk Mustafić,faruk.mustafić458605@example.ba,2024-01-20 02:21:01,128,2025-06-05 22:10:09.543614
b7e14285-73c3-4d57-b5ae-d70dd0ce3281,Jusuf Osmanović,jusuf.osmanović714071@example.ba,2024-06-15 21:19:28,920,2025-06-05 22:10:09.543614
eede7dd3-23ae-4406-8836-10a4b2156ba7,Jusuf Bečić,jusuf.bečić392481@example.ba,2024-06-15 03:38:51,174,2025-06-05 22:10:09.543614
22df535f-d90d-45c4-8c7a-b0e1c1974b0d,Azem Subašić,azem.subašić672617@example.ba,2025-02-19 01:57:27,218,2025-06-05 22:10:09.543614
